贺	3388	1566277
阎	921	574009
应	819	467052
初	102	169736
赫	127	318734
淮	16	171766
沃	115	566614
翁	1312	409619
欧阳	1371	893413
蒲	751	397054
包	1702	1028942
席	797	394963
慕容	81	331425
伏	230	381203
柴	1368	649419
乌	240	624682
卢	6118	3143706
羊	166	288215
毕	1987	762548
党	205	174716
廉	314	239795
印	281	292629
苟	415	208596
景	261	509381
隋	912	395442
令狐	39	141978
尹	4608	1503756
黎	2166	935410
独孤	34	161227
井	79	250481
殷	2278	743190
危	156	175282
颜	2051	895380
公	61	272930
来	102	339377
夏侯	63	393854
辛	1505	1269550
邹	4587	1784566
靖	109	243762
位	12	162026
荀	173	223148
荆	506	332989
宣	321	373500
巴	528	1806976
云	175	839352
房	1233	705667
段	4335	1730196
佘	448	248072
索	399	895864
化	15	239047
阮	1416	562085
彭	6467	4110265
穆	1159	854826
皮	394	589911
洪	2640	3365861
凌	1270	1954711
桂	590	1352010
秦	4591	4136617
兰	1244	2475474
皇	37	476259
薛	4694	2630300
蒙	496	775018
程	6637	3988767
巨	42	330114
乔	2429	1905704
和	155	629421
焦	1984	943752
腾	35	422161
归	48	370672
宁	1496	1700806
童	1448	1435346
玄	141	1258869
普	238	1174411
崔	7683	3381924
但	38	228675
布	265	1342227
富	108	423742
楚	579	1098260
祝	1686	812751
袁	7022	4882964
贾	6200	3622823
熊	3407	2263002
南	243	1306809
燕	508	1823014
卓	632	1534262
斯琴	7	293580
勾	110	247543
巩	608	530798
言	44	277722
戚	928	469484
奥	220	1799750
麦	423	2102449
曲	1938	1645562
俞	2584	1213461
于	8990	7133251
时	232	588284
戴	4422	2749480
庞	2071	1393505
惠	586	1600974
孟	5055	4008563
游	1063	851435
朴	899	812315
佟	857	621589
柯	1217	1111874
丁	7421	4894673
汤	3017	1993531
谭	4552	2596951
甘	1181	1078511
柳	2056	2670872
陆	5931	4117175
屠	358	642721
白	4697	10373142
衡	103	658168
朱	19734	12950568
咸	78	624757
韦	2473	1665432
东方	46	927930
昌	116	975416
常	2953	3112378
蒋	7222	3905275
史	4778	3178590
闫	3863	1593541
达	180	1121128
哈	273	3776174
岳	2088	1777500
解	1213	732308
柏	618	1262024
吴	24941	20259992
魏	7161	4473436
习	118	1031581
浦	258	710110
齐	2760	2927993
紫	188	4189872
巫	347	1176727
路	1481	3437641
苗	1470	1165227
那	88	809169
车	1016	2052519
牛	2892	3100128
湛	103	543347
宋	11297	8865976
徐	19809	18335910
单	1801	2896598
章	2630	1421588
项	889	804057
葛	3147	1783020
钱	4119	3383230
夏	5572	6912972
汪	5286	3415182
龙	2154	11641821
郑	13654	9764329
黄	23307	29821983
宫	1104	1203047
甄	611	1756107
方	4709	6435531
万	3078	8126126
曾	6621	4553204
潘	7328	5854333
薄	352	835181
华	1344	11832783
安	2861	9593471
唐	8253	7322499
何	11863	11167936
符	1026	931127
花	160	2235559
米	794	4335980
曹	9605	8636238
文	2073	9818773
狄	363	1244798
陶	3118	2739965
海	189	5906626
古	770	4716324
马	16248	21944241
匡	431	830363
修	103	914778
贝	270	1731750
武	3593	5412848
任	7098	5808751
萧	1272	2900089
江	3845	7930221
舒	1141	2165693
莫	1783	3471857
罗	8781	12466870
艾	1281	4462027
鲁	2067	3730253
叶	6762	5793201
杜	7681	6806963
邓	7005	6298019
范	6847	5909582
温	2519	3042203
吕	7358	4952255
韩	9457	11027045
谢	9606	7425744
孙	21601	18578302
关	2153	4436473
雷	3098	5809130
姚	6437	4236539
赵	25101	23909103
许	9774	8359326
杨	29466	32578626
郭	15390	14305857
林	14306	18589015
蔡	8018	6281979
李	61697	88024714
梁	9153	9509934
胡	15668	13023716
陈	44872	46902324
毛	3601	4465559
成	1491	4756452
张	61579	87867264
金	7480	30123856
刘	47821	60816417
高	13177	24566767
王	65340	85560793
计	285	102206
藤	60	147740
翟	2425	617994
纳兰	12	63147
詹	1363	521496
芮	274	125424
涂	1136	361016
仇	731	163263
丰	261	398859
权	135	81455
豆	120	99721
申	2039	991166
贡	132	75246
臧	961	240390
严	3052	1537560
顾	5138	2028762
龚	3050	1052890
付	4501	2146531
聂	2030	852796
侍	73	102904
丛	788	282117
鹿	298	223681
公孙	50	172492
祖	363	448113
赖	1928	689354
晋	256	354693
冒	111	82282
裴	1694	564825
滕	1010	407165
伍	1543	659565
盖	463	1113312
智	199	915112
易	1748	2111104
左	1835	1595959
邵	3914	1774054
库	131	575761
虞	734	381721
伊	645	2801247
钟	4704	3303745
斯	267	1313186
尚	1663	1610895
封	529	669565
吉	1019	2090939
银	138	1579895
楼	205	403618
姜	6743	4276854
费	1013	1124302
商	736	1024713
冷	725	1653188
余	5665	4143367
连	774	2018183
都	98	521111
卫	818	1520420
宾	77	480334
霍	1701	1939810
水	115	1418004
沙	828	2898605
千	79	1072257
蓝	1089	5711843
年	35	372093
田	6757	5387011
董	8834	4568892
欧	992	2794076
向	1711	2970977
干	68	332247
边	834	637119
容	160	485921
乐	582	2041547
郁	614	654514
冯	8881	5012888
孔	3599	2447737
西门	15	415776
苏	6216	8596181
木	80	735396
全	196	1044209
康	2665	3783762
利	134	1785540
石	4932	4705126
肖	5901	3930657
纪	1698	1190558
梅	1508	3235242
郎	596	748797
阳	557	1515501
荣	585	1830576
屈	1064	623024
萨	224	1518114
查	568	617916
司马	207	892087
周	22926	30988884
明	1	1
洛	3	3
强	1	1
平	1	1
国	1	1
帅	1	1
新	1	1
百里	1	1
主	1	1
勇	1	1
郏	3	3
香	1	1
东	1	1
凤	1	1
从	1	1
经	1	1
玉	1	1
凡	1	1
山	1	1
雒	1	1
保	1	1
刑	1	1
藏	1	1
越	1	1
延	1	1
承	1	1
福	1	1
毓	1	1
畅	1	1
汝	1	1
贠	1	1
禤	1	1
遆	1	1
佀	1	1
幺	1	1
冮	1	1
洑	1	1
偰	1	1
蒉	1	1
芈	1	1
芶	1	1
郤	1	1
鄯	1	1
旻	1	1
郈	1	1
笹	1	1
博	1	1
回	1	1
笹	1	1
